Class 1,Class 2,Fisher Score
S,Y,0.00016782239402417863
S,Z,0.0001526134350904338
T,U,0.0003001988372571811
T,V,0.00019097767966710883
T,W,0.0002217459369847115
T,X,0.00019380834100136542
T,Y,9.507538788514052e-05
T,Z,0.00020107187425982476
U,V,9.562381798119586e-05
U,W,0.0001113843148020354
U,X,0.0002510032179526424
U,Y,0.00020014434409544035
U,Z,0.000208787255670926
V,W,0.00016797477581315012
V,X,0.000208306114269707
V,Y,5.964303245828252e-05
V,Z,0.00022689762006049434
W,X,0.00015693283686118677
W,Y,0.0002229696242465894
W,Z,0.00022946500609872072
X,Y,0.0001617427202768457
X,Z,0.0001151908906447884
Y,Z,0.00020887195703602406
